                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4179,                0.85071,                 1.3018,                0.84659,                0.84154,                0.89565,                0.52867,                 1.3932,                0.83277,                 1.3557,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4103,                0.87092,                 1.3227,                0.91592,                0.83972,                0.92091,                0.53838,                 1.4078,                 0.8285,                 1.3385,               0.001307,               0.001307,               0.001307
                     37,                 1.4023,                0.86155,                  1.313,                0.90653,                0.84582,                0.92239,                0.52537,                  1.407,                0.80947,                 1.3402,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3852,                0.85812,                 1.2978,                 0.8691,                0.82441,                 0.9038,                0.52355,                 1.4158,                0.83218,                 1.3353,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3917,                0.85638,                 1.2998,                0.87716,                0.82013,                0.89961,                0.51887,                 1.3965,                0.84367,                 1.3288,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.392,                0.86573,                 1.2954,                0.87693,                0.82394,                0.90688,                0.52267,                 1.4497,                0.88191,                 1.3557,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3702,                0.85441,                 1.2775,                0.90763,                0.86265,                 0.9312,                0.55552,                 1.3638,                0.81379,                 1.3124,               0.001208,               0.001208,               0.001208
                     42,                 1.3702,                0.83652,                 1.2717,                0.88852,                0.85653,                0.92083,                 0.5497,                 1.3135,                0.77444,                 1.2903,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3618,                0.81002,                 1.2543,                0.89659,                0.83512,                0.91982,                0.50065,                 1.5004,                 0.8251,                 1.3584,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3578,                0.82463,                 1.2607,                0.92473,                0.86818,                0.93968,                0.56801,                 1.3451,                0.75258,                 1.2897,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3822,                0.84072,                  1.273,                0.85709,                0.82655,                0.91002,                0.51985,                 1.3795,                0.80868,                 1.3302,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3516,                0.82391,                 1.2652,                0.88815,                 0.8651,                0.93377,                0.57111,                 1.3252,                0.78161,                 1.3023,               0.001109,               0.001109,               0.001109
                     47,                 1.3501,                0.82242,                  1.266,                 0.9126,                0.84963,                0.93929,                0.57869,                 1.2945,                0.73401,                 1.2885,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3012,                0.78327,                 1.2276,                0.92651,                0.86081,                0.94445,                0.59116,                 1.3176,                0.75295,                 1.2858,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3412,                0.80376,                 1.2673,                0.91637,                0.84471,                0.93381,                 0.5508,                 1.3666,                0.82272,                 1.3063,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3504,                0.82337,                 1.2747,                0.92033,                0.87794,                0.94786,                0.58601,                 1.2954,                0.74841,                 1.2792,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3123,                0.77956,                  1.236,                0.94401,                0.86644,                0.94888,                0.57409,                 1.3183,                0.73107,                 1.2929,                0.00101,                0.00101,                0.00101
                     52,                 1.3221,                0.78715,                 1.2459,                0.93017,                0.86081,                0.94262,                0.55303,                 1.3688,                0.76188,                 1.2892,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2939,                0.76805,                 1.2135,                0.91176,                0.89507,                0.95924,                0.58826,                 1.2958,                 0.7322,                  1.274,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2888,                0.77642,                 1.2184,                0.90724,                0.90055,                  0.957,                  0.593,                 1.2841,                0.74226,                 1.2701,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3207,                0.78195,                 1.2584,                0.90777,                0.88865,                0.94362,                0.52525,                  1.434,                0.76018,                 1.3009,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2935,                0.78225,                 1.2376,                0.92735,                0.89293,                0.95921,                0.57169,                 1.2753,                0.70509,                 1.2601,               0.000911,               0.000911,               0.000911
                     57,                 1.2822,                0.76479,                 1.2184,                0.90309,                0.89796,                0.95586,                0.61135,                 1.2321,                0.69557,                 1.2478,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3007,                0.78368,                 1.2437,                0.91626,                0.89034,                0.95307,                0.58736,                 1.2786,                0.72746,                 1.2603,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2806,                0.74232,                 1.2065,                0.90698,                0.89722,                0.94316,                0.58945,                 1.2885,                0.73285,                 1.2608,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2812,                0.75182,                 1.2299,                0.92845,                0.88922,                0.95853,                0.58972,                 1.2983,                0.72363,                 1.2595,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2879,                0.74065,                 1.2046,                0.91778,                 0.8844,                0.94511,                0.56703,                 1.3234,                0.73342,                 1.2666,               0.000812,               0.000812,               0.000812
                     62,                 1.2848,                0.75179,                 1.2252,                0.92422,                0.88009,                 0.9546,                0.56203,                 1.3668,                0.72774,                 1.2684,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2394,                0.73368,                 1.1915,                0.93741,                 0.8659,                0.96011,                0.60663,                 1.2084,                0.68053,                 1.2357,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.247,                0.72421,                 1.1965,                0.92534,                0.89079,                0.95867,                0.58904,                 1.2764,                0.70245,                 1.2476,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2418,                0.72325,                 1.2041,                0.94785,                0.89079,                0.96027,                0.60039,                 1.2553,                0.67992,                 1.2465,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2576,                0.72162,                 1.1936,                0.94128,                0.87152,                0.95058,                0.59561,                 1.2415,                0.68483,                 1.2311,               0.000713,               0.000713,               0.000713
                     67,                 1.2499,                0.73482,                 1.2211,                0.94959,                0.88746,                0.96045,                 0.6132,                 1.2391,                0.67902,                 1.2337,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2704,                0.74954,                 1.2262,                0.92576,                0.91006,                0.96616,                0.60189,                 1.2532,                0.68033,                 1.2572,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2717,                0.74148,                 1.2191,                0.95712,                0.88865,                0.95693,                0.60802,                 1.2426,                0.68166,                 1.2349,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2449,                0.73273,                 1.2052,                0.93492,                0.89209,                0.96335,                0.61264,                  1.226,                0.66825,                 1.2266,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2341,                0.72594,                 1.2057,                0.94468,                0.88009,                0.96341,                 0.5959,                 1.2765,                0.66463,                 1.2367,               0.000614,               0.000614,               0.000614
                     72,                 1.2266,                0.72171,                 1.1967,                0.95823,                0.88223,                0.95851,                0.60537,                  1.201,                0.67708,                 1.2234,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.233,                0.70264,                 1.1892,                0.94238,                0.89079,                0.95193,                0.61934,                 1.2023,                0.66717,                 1.2253,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2245,                 0.7139,                 1.1874,                0.93978,                0.90792,                0.96894,                0.60533,                 1.2714,                0.67085,                 1.2471,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2229,                0.71452,                 1.1965,                0.93221,                0.89293,                0.95702,                0.60502,                 1.2292,                0.69912,                 1.2462,              0.0005348,              0.0005348,              0.0005348
